DATE,NGDPNSAXDCIDQ
2008-01-01,1207305.375
2008-04-01,1332933.25
2008-07-01,1460941.875
2008-10-01,1413661.25
2009-01-01,1395989.25
2009-04-01,1479734.5
2009-07-01,1571636
2009-10-01,1564015.25
2010-01-01,1603771.875
2010-04-01,1704509.875
2010-07-01,1786196.625
2010-10-01,1769654.75
2011-01-01,1834355.125
2011-04-01,1928233
2011-07-01,2053745.375
2011-10-01,2015392.5
2012-01-01,2061338.25
2012-04-01,2162037
2012-07-01,2223641.5
2012-10-01,2168687.75
2013-01-01,2235288.5
2013-04-01,2342589.5
2013-07-01,2491158.5
2013-10-01,2477097.5
2014-01-01,2506300.25
2014-04-01,2618947.25
2014-07-01,2746762.5
2014-10-01,2697695.5
2015-01-01,2728180.75
2015-04-01,2867948.5
2015-07-01,2990645
2015-10-01,2939558.75
2016-01-01,2929269
2016-04-01,3073536.75
2016-07-01,3205019
2016-10-01,3193903.75
2017-01-01,3228172.25
2017-04-01,3366787.25
2017-07-01,3504138.5
2017-10-01,3490727.75
2018-01-01,3510363
2018-04-01,3686836.5
2018-07-01,3842343
2018-10-01,3799213.5
2019-01-01,3782618.25
2019-04-01,3964074.75
2019-07-01,4067358
2019-10-01,4018606.25
2020-01-01,3923348
2020-04-01,3690742.25
2020-07-01,3897852
2020-10-01,3931411.25
2021-01-01,3972933
2021-04-01,4178022
2021-07-01,4327384
2021-10-01,4498412.5
2022-01-01,4508566.5
2022-04-01,4897889
2022-07-01,5066863.5
2022-10-01,5114771
2023-01-01,5071483
2023-04-01,5223368
2023-07-01,5294982
2023-10-01,5302543.5
2024-01-01,5288495
2024-04-01,5536495
