DATE,NGDPRSAXDCIDQ
2000-01-01,1012908.5
2000-04-01,1007085.125
2000-07-01,1031621.8125
2000-10-01,1061287.25
2001-01-01,1053724.5
2001-04-01,1064503
2001-07-01,1064723.75
2001-10-01,1079803.5
2002-01-01,1092967.375
2002-04-01,1107016.75
2002-07-01,1121225.625
2002-10-01,1133346.875
2003-01-01,1148138.25
2003-04-01,1161156.625
2003-07-01,1173320.75
2003-10-01,1184885
2004-01-01,1198807.25
2004-04-01,1213143.875
2004-07-01,1227905.75
2004-10-01,1262459.875
2005-01-01,1272698.75
2005-04-01,1287273.75
2005-07-01,1301458.25
2005-10-01,1319954.125
2006-01-01,1337393.625
2006-04-01,1354469.25
2006-07-01,1376301.875
2006-10-01,1398245.375
2007-01-01,1420985.875
2007-04-01,1444669.5
2007-07-01,1467445.75
2007-10-01,1480154
2008-01-01,1513322.875
2008-04-01,1535377.75
2008-07-01,1555748.25
2008-10-01,1558398
2009-01-01,1579535.25
2009-04-01,1599868.75
2009-07-01,1624617.375
2009-10-01,1648588.5
2010-01-01,1675340.125
2010-04-01,1703291.75
2010-07-01,1728932.75
2010-10-01,1756568.5
2011-01-01,1782103.375
2011-04-01,1807988.25
2011-07-01,1835379
2011-10-01,1862164.625
2012-01-01,1890231.25
2012-04-01,1918494.75
2012-07-01,1945631.125
2012-10-01,1972726.25
2013-01-01,2000098.125
2013-04-01,2025736.75
2013-07-01,2052275.25
2013-10-01,2078387.875
2014-01-01,2103052.75
2014-04-01,2129143.75
2014-07-01,2153970.5
2014-10-01,2178699.5
2015-01-01,2205433.5
2015-04-01,2231060.5
2015-07-01,2258599
2015-10-01,2287424
2016-01-01,2315005.75
2016-04-01,2344363.5
2016-07-01,2373256.25
2016-10-01,2401987.75
2017-01-01,2432127
2017-04-01,2462375.5
2017-07-01,2493307.75
2017-10-01,2525118
2018-01-01,2557357.75
2018-04-01,2589577
2018-07-01,2622797.5
2018-10-01,2656119.5
2019-01-01,2689235.75
2019-04-01,2722677
2019-07-01,2754043.5
2019-10-01,2783199
2020-01-01,2766517.5
2020-04-01,2576608.5
2020-07-01,2660288.5
2020-10-01,2719584.5
2021-01-01,2748568.5
2021-04-01,2760994.5
2021-07-01,2767809.5
2021-10-01,2842687.25
2022-01-01,2876287.5
2022-04-01,2910040.5
2022-07-01,2943294.5
2022-10-01,2980625.25
2023-01-01,3016956.75
2023-04-01,3056265.5
2023-07-01,3094713.5
2023-10-01,3133457.75
2024-01-01,3172102.5
2024-04-01,3210109.75
