DATE,NGDPSAXDCIDQ
1990-01-01,60445.69921875
1990-04-01,62429.69921875
1990-07-01,64489.8984375
1990-10-01,66137.6015625
1991-01-01,71340.203125
1991-04-01,73923.296875
1991-07-01,76503.203125
1991-10-01,78744.8984375
1992-01-01,80714.8984375
1992-04-01,83048.203125
1992-07-01,86468.703125
1992-10-01,89262.703125
1993-01-01,94053.796875
1993-04-01,97070.3984375
1993-07-01,100827.703125
1993-10-01,104503.796875
1994-01-01,106704.3984375
1994-04-01,112168.296875
1994-07-01,117815.6015625
1994-10-01,122815.203125
1995-01-01,129132.5
1995-04-01,134602.5
1995-07-01,138124.59375
1995-10-01,144556.296875
1996-01-01,148095.40625
1996-04-01,155257.296875
1996-07-01,161280.5
1996-10-01,175618.90625
1997-01-01,175599.59375
1997-04-01,179963.40625
1997-07-01,192183.203125
1997-10-01,206867.796875
1998-01-01,253872.203125
1998-04-01,268337.6875
1998-07-01,311370.3125
1998-10-01,315424.40625
1999-01-01,329139.09375
1999-04-01,326795.1875
1999-07-01,327497.09375
1999-10-01,338663.59375
2000-01-01,356522.09375
2000-04-01,369214.40625
2000-07-01,387369.40625
2000-10-01,407576.6875
2001-01-01,422692.6875
2001-04-01,454775.90625
2001-07-01,458355.8125
2001-10-01,465576.8125
2002-01-01,478778.59375
2002-04-01,491483.3125
2002-07-01,506185.6875
2002-10-01,516997.6875
2003-01-01,544614.125
2003-04-01,542199.1875
2003-07-01,552925.625
2003-10-01,563618.625
2004-01-01,590155.375
2004-04-01,614527.3125
2004-07-01,637119.3125
2004-10-01,670285
2005-01-01,696818.5
2005-04-01,730803.6875
2005-07-01,761608.6875
2005-10-01,846380.1875
2006-01-01,864413.3125
2006-04-01,887213.6875
2006-07-01,928589.1875
2006-10-01,973546.125
2007-01-01,1017279
2007-04-01,1050869.75
2007-07-01,1098692.375
2007-10-01,1156215.75
2008-01-01,1259852.125
2008-04-01,1328327.625
2008-07-01,1396490.75
2008-10-01,1430171.375
2009-01-01,1442518.875
2009-04-01,1474145.75
2009-07-01,1512079.625
2009-10-01,1582630.875
2010-01-01,1643048.75
2010-04-01,1696278.375
2010-07-01,1729826
2010-10-01,1794979.875
2011-01-01,1872786.75
2011-04-01,1918919.25
2011-07-01,1995474.25
2011-10-01,2044545.75
2012-01-01,2101257
2012-04-01,2151885.5
2012-07-01,2162567.25
2012-10-01,2199994.5
2013-01-01,2282024
2013-04-01,2334912.25
2013-07-01,2424791.25
2013-10-01,2504406.5
2014-01-01,2559545.5
2014-04-01,2611283.5
2014-07-01,2675745.5
2014-10-01,2723130.5
2015-01-01,2790317.5
2015-04-01,2858766.5
2015-07-01,2916019.5
2015-10-01,2961229.5
2016-01-01,2997418.75
2016-04-01,3063665
2016-07-01,3129320
2016-10-01,3211324.75
2017-01-01,3300220.75
2017-04-01,3354937.5
2017-07-01,3427379
2017-10-01,3507288.75
2018-01-01,3591605.75
2018-04-01,3672568.25
2018-07-01,3762453
2018-10-01,3812129
2019-01-01,3872587.75
2019-04-01,3948268
2019-07-01,3986750.75
2019-10-01,4025051
2020-01-01,4014897.75
2020-04-01,3673660.75
2020-07-01,3820551.5
2020-10-01,3934243.25
2021-01-01,4063697.75
2021-04-01,4160241.75
2021-07-01,4254604.5
2021-10-01,4498207.5
2022-01-01,4600606
2022-04-01,4880004.5
2022-07-01,4997969
2022-10-01,5109510
2023-01-01,5162538.5
2023-04-01,5199253
2023-07-01,5229294.5
2023-10-01,5301290.5
2024-01-01,5384441
2024-04-01,5506185
