DATE,WUIIDN
1952-04-01,0.0
1952-07-01,0.1011839
1952-10-01,0.20803
1953-01-01,0.1872309
1953-04-01,1.074499
1953-07-01,0.3118179
1953-10-01,0.3127199
1954-01-01,0.3136271
1954-04-01,0.0
1954-07-01,0.3177377
1954-10-01,0.5958588
1955-01-01,0.4224757
1955-04-01,0.0
1955-07-01,0.2176515
1955-10-01,0.0
1956-01-01,0.4625882
1956-04-01,0.0
1956-07-01,0.1338688
1956-10-01,0.1424501
1957-01-01,0.0
1957-04-01,0.5066712
1957-07-01,0.0
1957-10-01,0.0
1958-01-01,0.1203804
1958-04-01,0.0
1958-07-01,0.0
1958-10-01,0.0
1959-01-01,0.1345352
1959-04-01,0.1287996
1959-07-01,0.2797594
1959-10-01,0.4407228
1960-01-01,0.2453988
1960-04-01,0.0
1960-07-01,0.0
1960-10-01,0.0
1961-01-01,0.0
1961-04-01,0.2465787
1961-07-01,0.2428069
1961-10-01,0.0
1962-01-01,0.2375861
1962-04-01,0.120773
1962-07-01,0.0
1962-10-01,0.0
1963-01-01,0.1152339
1963-04-01,0.2511616
1963-07-01,0.3614022
1963-10-01,0.1286174
1964-01-01,0.0
1964-04-01,0.0
1964-07-01,0.3004356
1964-10-01,0.2514774
1965-01-01,0.2595717
1965-04-01,0.2670227
1965-07-01,0.1792597
1965-10-01,0.0
1966-01-01,0.7639419
1966-04-01,0.1105217
1966-07-01,0.0
1966-10-01,0.2432202
1967-01-01,0.1227898
1967-04-01,0.1052853
1967-07-01,0.0
1967-10-01,0.0
1968-01-01,0.0935454
1968-04-01,0.2396071
1968-07-01,0.0
1968-10-01,0.2851847
1969-01-01,0.0
1969-04-01,0.0
1969-07-01,0.0
1969-10-01,0.1434926
1970-01-01,0.0
1970-04-01,0.0
1970-07-01,0.0
1970-10-01,0.0
1971-01-01,0.0
1971-04-01,0.0
1971-07-01,0.0
1971-10-01,0.0
1972-01-01,0.0
1972-04-01,0.0
1972-07-01,0.0
1972-10-01,0.1430001
1973-01-01,0.1360915
1973-04-01,0.0
1973-07-01,0.0
1973-10-01,0.1583281
1974-01-01,0.0
1974-04-01,0.0
1974-07-01,0.0
1974-10-01,0.0
1975-01-01,0.0
1975-04-01,0.0
1975-07-01,0.1308901
1975-10-01,0.0
1976-01-01,0.3680982
1976-04-01,0.1143903
1976-07-01,0.1154335
1976-10-01,0.1090869
1977-01-01,0.0
1977-04-01,0.1605008
1977-07-01,0.5901098
1977-10-01,0.2019386
1978-01-01,0.37059
1978-04-01,0.2501876
1978-07-01,0.3356268
1978-10-01,0.0
1979-01-01,0.4074315
1979-04-01,0.0
1979-07-01,0.1571092
1979-10-01,0.2254791
1980-01-01,0.3423485
1980-04-01,0.0674263
1980-07-01,0.1264862
1980-10-01,0.3265839
1981-01-01,0.5226845
1981-04-01,0.1215953
1981-07-01,0.2232392
1981-10-01,0.2372479
1982-01-01,0.2574444
1982-04-01,0.3032754
1982-07-01,0.0825423
1982-10-01,0.0
1983-01-01,0.1876349
1983-04-01,0.1826651
1983-07-01,0.0981884
1983-10-01,0.0685119
1984-01-01,0.0
1984-04-01,0.0337223
1984-07-01,0.0
1984-10-01,0.0
1985-01-01,0.0236077
1985-04-01,0.0268781
1985-07-01,0.0545405
1985-10-01,0.0618557
1986-01-01,0.1986393
1986-04-01,0.1657825
1986-07-01,0.1819211
1986-10-01,0.1533978
1987-01-01,0.1147974
1987-04-01,0.2042206
1987-07-01,0.0653509
1987-10-01,0.2864591
1988-01-01,0.2585984
1988-04-01,0.1015228
1988-07-01,0.159371
1988-10-01,0.0502866
1989-01-01,0.2667805
1989-04-01,0.2095009
1989-07-01,0.0
1989-10-01,0.111657
1990-01-01,0.0965158
1990-04-01,0.1161845
1990-07-01,0.0584966
1990-10-01,0.1637197
1991-01-01,0.238561
1991-04-01,0.2224397
1991-07-01,0.1143968
1991-10-01,0.1558037
1992-01-01,0.2284322
1992-04-01,0.1593308
1992-07-01,0.1361161
1992-10-01,0.1035947
1993-01-01,0.1992588
1993-04-01,0.2289639
1993-07-01,0.094594
1993-10-01,0.0
1994-01-01,0.1600598
1994-04-01,0.1504815
1994-07-01,0.2589891
1994-10-01,0.1855029
1995-01-01,0.1140858
