"Penduduk Berumur 15 Tahun Ke Atas yang Bekerja Selama Seminggu yang Lalu Menurut Status Pekerjaan Utama dan Lapangan Pekerjaan, 2008-2024",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Status Pekerjaan Utama,2008 Februari,,,,,,,,,,,,,2008 Agustus,,,,,,,,,,,,
,Lapangan Pekerjaan Utama,,,,,,,,,,,,,Lapangan Pekerjaan Utama,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,98,99,Total,1,2,3,4,5,6,7,8,9,10,98,99,Total
1 Berusaha Sendiri,"5,089,783","230,658","1,558,894","20,944","325,647","7,337,619","3,105,316","159,335","2,252,937",0,0,0,"20,081,133","5,111,617","205,282","1,645,630","19,638","389,578","7,932,592","3,345,891","150,006","2,121,333",0,0,0,"20,921,567"
2 Berusaha dibantu Buruh Tidak Tetap/Tidak Dibayar,"14,861,650","67,061","1,252,720","5,641","126,674","4,629,672","306,665","45,098","304,601",0,0,0,"21,599,782","14,235,569","111,812","1,497,991","12,902","229,968","4,590,879","417,290","54,129","622,454",0,0,0,"21,772,994"
3 Berusaha dibantu Buruh Tetap/Dibayar,"817,685","32,626","454,199","2,747","246,925","926,835","165,551","61,555","271,283",0,0,0,"2,979,406","806,119","34,200","504,152","2,221","236,244","895,270","200,284","70,306","266,530",0,0,0,"3,015,326"
4 Buruh/Karyawan/Pegawai,"2,593,709","462,106","7,320,335","167,528","1,758,523","4,219,061","1,828,352","1,118,905","9,046,839",0,0,0,"28,515,358","2,612,063","446,757","6,762,721","156,240","1,940,953","4,303,376","1,652,306","1,121,870","9,187,487",0,0,0,"28,183,773"
5 Pekerja bebas pertanian,"6,130,481",0,0,0,0,0,0,0,0,0,0,0,"6,130,481","5,991,493",0,0,0,0,0,0,0,0,0,0,0,"5,991,493"
6 Pekerja bebas non pertanian,0,"217,505","794,140","8,358","2,226,349","358,052","446,239","28,502","719,711",0,0,0,"4,798,856",0,"208,904","945,037","8,743","2,604,786","314,384","454,197","38,195","718,016",0,0,0,"5,292,262"
7 Pekerja keluarga/tak dibayar,"13,196,327","52,353","1,059,853","2,691","49,561","3,212,802","161,824","26,647","182,783",0,0,0,"17,944,841","12,574,845","63,585","1,193,845","1,370","37,436","3,185,243","109,535","25,479","183,997",0,0,0,"17,375,335"
9 Tak Terjawab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,"42,689,635","1,062,309","12,440,141","207,909","4,733,679","20,684,041","6,013,947","1,440,042","12,778,154",0,0,0,"102,049,857","41,331,706","1,070,540","12,549,376","201,114","5,438,965","21,221,744","6,179,503","1,459,985","13,099,817",0,0,0,"102,552,750"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Status Pekerjaan Utama,2009 Februari,,,,,,,,,,,,,2009 Agustus,,,,,,,,,,,,
,Lapangan Pekerjaan Utama,,,,,,,,,,,,,Lapangan Pekerjaan Utama,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,98,99,Total,1,2,3,4,5,6,7,8,9,10,98,99,Total
1 Berusaha Sendiri,"4,888,769","254,661","2,138,257","8,374","374,235","7,901,504","2,987,689","156,152","2,100,659",0,0,0,"20,810,300","4,991,238","255,104","1,246,763","8,888","479,221","8,814,541","3,237,688","137,173","1,875,391",0,0,0,"21,046,007"
2 Berusaha dibantu Buruh Tidak Tetap/Tidak Dibayar,"14,806,117","76,688","1,230,927",286,"78,507","4,787,849","260,118","54,043","342,226",0,0,0,"21,636,761","13,800,482","123,196","2,036,277","3,146","206,030","4,949,177","466,313","48,463","300,462",0,0,0,"21,933,546"
3 Berusaha dibantu Buruh Tetap/Dibayar,"730,541","40,612","512,518","7,483","221,814","933,156","171,348","64,960","286,049",0,0,0,"2,968,481","858,055","34,904","445,897","4,443","236,200","901,344","168,386","68,647","315,344",0,0,0,"3,033,220"
4 Buruh/Karyawan/Pegawai,"2,443,499","493,423","6,973,014","186,729","1,642,202","4,233,517","1,912,900","1,167,807","9,860,027",0,0,0,"28,913,118","3,011,011","428,476","6,814,606","192,544","1,738,331","3,425,982","1,714,418","1,177,339","10,611,334",0,0,0,"29,114,041"
5 Pekerja bebas pertanian,"6,346,122",0,0,0,0,0,0,0,0,0,0,0,"6,346,122","5,878,894",0,0,0,0,0,0,0,0,0,0,0,"5,878,894"
6 Pekerja bebas non pertanian,"9,966","195,883","964,747","6,569","2,264,023","391,726","443,441","28,139","847,042",0,0,0,"5,151,536",0,"242,151","1,080,592","13,132","2,793,559","362,626","447,771","29,950","700,928",0,0,0,"5,670,709"
7 Pekerja keluarga/tak dibayar,"13,804,479","78,228","795,977",0,"29,914","3,589,016","172,177","13,497","175,838",0,0,0,"18,659,126","13,072,160","71,402","1,215,665",901,"33,476","3,494,153","83,409","25,024","198,056",0,0,0,"18,194,246"
9 Tak Terjawab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,"43,029,493","1,139,495","12,615,440","209,441","4,610,695","21,836,768","5,947,673","1,484,598","13,611,841",0,0,0,"104,485,444","41,611,840","1,155,233","12,839,800","223,054","5,486,817","21,947,823","6,117,985","1,486,596","14,001,515",0,0,0,"104,870,663"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Status Pekerjaan Utama,2010 Februari,,,,,,,,,,,,,2010 Agustus,,,,,,,,,,,,
,Lapangan Pekerjaan Utama,,,,,,,,,,,,,Lapangan Pekerjaan Utama,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,98,99,Total,1,2,3,4,5,6,7,8,9,10,98,99,Total
1 Berusaha Sendiri,"4,614,685","290,958","1,866,194","11,824","280,722","7,543,149","3,223,627","183,392","2,442,184",0,0,0,"20,456,735","4,531,534","242,429","2,359,565","18,818","449,544","8,082,179","2,741,443","156,684","2,448,375",0,0,0,"21,030,571"
2 Berusaha dibantu Buruh Tidak Tetap/Tidak Dibayar,"14,987,231","77,187","1,340,761","1,168","88,254","4,865,568","131,714","57,503","373,427",0,0,0,"21,922,813","13,909,111","87,323","1,573,864","4,912","174,786","4,887,561","493,103","59,175","492,156",0,0,0,"21,681,991"
3 Berusaha dibantu Buruh Tetap/Dibayar,"808,122","32,555","490,740","4,004","235,766","917,084","132,803","76,032","319,048",0,0,0,"3,016,154","893,046","39,689","508,560","2,514","251,208","1,028,779","165,389","55,314","317,365",0,0,0,"3,261,864"
4 Buruh/Karyawan/Pegawai,"2,743,858","492,611","6,646,308","176,985","1,759,660","4,486,065","1,863,991","1,242,490","11,312,193",0,0,0,"30,724,161","2,663,571","581,827","7,425,111","202,252","1,928,913","4,748,557","1,752,370","1,421,332","11,797,584",0,0,0,"32,521,517"
