Police Territorial Jurisdiction,,,
,Number Of Crime According To Police Territorial Jurisdiction,,
,2015,2016,2017
ACEH,8048,9646,8885
SUMATERA UTARA,35248,37102,39867
SUMATERA BARAT,16277,14921,13205
RIAU,9595,8520,6869
JAMBI,10564,9424,9531
SUMATERA SELATAN,20575,20368,15728
BENGKULU,4463,5904,4867
LAMPUNG,9218,10485,11089
KEP. BANGKA BELITUNG,1875,2094,1931
KEP. RIAU,4892,4885,3673
METRO JAYA,44461,43842,34767
JAWA BARAT,27805,29351,25183
JAWA TENGAH,15958,14353,12033
DI YOGYAKARTA,9692,8348,7251
JAWA TIMUR,35437,28902,34598
BANTEN,5002,4570,3692
BALI,5032,4764,3589
NUSA TENGGARA BARAT,6015,7779,8132
NUSA TENGGARA TIMUR,6709,7813,6729
KALIMANTAN BARAT,6669,7311,6020
KALIMANTAN TENGAH,2681,3712,2699
KALIMANTAN SELATAN,6809,7211,6578
KALIMANTAN TIMUR,8764,8896,9149
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,7837,9923,7981
SULAWESI TENGAH,8988,9602,10240
SULAWESI SELATAN,16088,15071,21616
SULAWESI TENGGARA,3655,3756,2866
GORONTALO,3372,3763,3099
SULAWESI BARAT,-,-,1841
MALUKU,1843,2559,3086
MALUKU UTARA,814,1096,789
PAPUA BARAT,1356,8103,2284
PAPUA,7194,3123,6785
INDONESIA,352936,357197,336652
