Police Territorial Jurisdiction,,
,Number Of Crime According To Police Territorial Jurisdiction,
,2021,2022
ACEH,6651,10137
SUMATERA UTARA,36534,43555
SUMATERA BARAT,5666,7691
RIAU,7512,12389
JAMBI,3701,5359
SUMATERA SELATAN,13037,11453
BENGKULU,3493,3613
LAMPUNG,9764,11022
KEP. BANGKA BELITUNG,1566,2072
KEP. RIAU,2481,3358
METRO JAYA,29103,32534
JAWA BARAT,7502,29485
JAWA TENGAH,8909,30060
DI YOGYAKARTA,4774,10591
JAWA TIMUR,19257,51905
BANTEN,3434,5038
BALI,2404,6304
NUSA TENGGARA BARAT,6296,5296
NUSA TENGGARA TIMUR,4909,5991
KALIMANTAN BARAT,4048,3975
KALIMANTAN TENGAH,2399,3189
KALIMANTAN SELATAN,4973,5016
KALIMANTAN TIMUR,4564,4221
KALIMANTAN UTARA,971,1280
SULAWESI UTARA,6215,9618
SULAWESI TENGAH,5139,5453
SULAWESI SELATAN,14636,28679
SULAWESI TENGGARA,2431,3828
GORONTALO,2445,2488
SULAWESI BARAT,1500,2027
MALUKU,3139,2383
MALUKU UTARA,1008,1220
PAPUA BARAT,2784,4083
PAPUA,6236,7584
INDONESIA,239481,372897
