STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,DOMAIN,Working domain,SEX,Sex,WORK_STATUS,Working status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2017,,2289529,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2016,,2261874,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2015,,2275139,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2006,,102945,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2005,,95700,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2004,,94451,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2003,,89433,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2002,,82630,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2021,,129580,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2020,,122931,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2019,,129800,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2018,,132851,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2017,,135752,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2016,,137461,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2015,,145947,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2014,,148419,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2013,,149017,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2012,,141512,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2009,,130630,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2008,,114769,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2007,,104615,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2004,,2459355,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2003,,2383588,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2002,,2270164,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2001,,2190920,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2000,,2142759,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2020,,2238847,,A,Normal value,,,0,Units,0,Zero,,
