strata,date,division,index
urban,2010-01-01 00:00:00,overall,99.4
urban,2010-02-01 00:00:00,overall,99.4
urban,2010-03-01 00:00:00,overall,99.4
urban,2010-04-01 00:00:00,overall,99.4
urban,2010-05-01 00:00:00,overall,99.6
urban,2010-06-01 00:00:00,overall,99.7
urban,2010-07-01 00:00:00,overall,100.0
urban,2010-08-01 00:00:00,overall,100.3
urban,2010-09-01 00:00:00,overall,100.4
urban,2010-10-01 00:00:00,overall,100.5
urban,2010-11-01 00:00:00,overall,100.8
urban,2010-12-01 00:00:00,overall,101.2
urban,2011-01-01 00:00:00,overall,101.8
urban,2011-02-01 00:00:00,overall,102.4
urban,2011-03-01 00:00:00,overall,102.4
urban,2011-04-01 00:00:00,overall,102.6
urban,2011-05-01 00:00:00,overall,102.9
urban,2011-06-01 00:00:00,overall,103.2
urban,2011-07-01 00:00:00,overall,103.4
urban,2011-08-01 00:00:00,overall,103.6
urban,2011-09-01 00:00:00,overall,103.9
urban,2011-10-01 00:00:00,overall,104.0
urban,2011-11-01 00:00:00,overall,104.2
urban,2011-12-01 00:00:00,overall,104.2
urban,2012-01-01 00:00:00,overall,104.6
urban,2012-02-01 00:00:00,overall,104.5
urban,2012-03-01 00:00:00,overall,104.5
urban,2012-04-01 00:00:00,overall,104.5
urban,2012-05-01 00:00:00,overall,104.7
urban,2012-06-01 00:00:00,overall,104.9
urban,2012-07-01 00:00:00,overall,104.9
urban,2012-08-01 00:00:00,overall,105.1
urban,2012-09-01 00:00:00,overall,105.3
urban,2012-10-01 00:00:00,overall,105.5
urban,2012-11-01 00:00:00,overall,105.5
urban,2012-12-01 00:00:00,overall,105.5
urban,2013-01-01 00:00:00,overall,106.0
urban,2013-02-01 00:00:00,overall,106.2
urban,2013-03-01 00:00:00,overall,106.3
urban,2013-04-01 00:00:00,overall,106.3
urban,2013-05-01 00:00:00,overall,106.7
urban,2013-06-01 00:00:00,overall,106.8
urban,2013-07-01 00:00:00,overall,107.0
urban,2013-08-01 00:00:00,overall,107.1
urban,2013-09-01 00:00:00,overall,108.0
urban,2013-10-01 00:00:00,overall,108.3
urban,2013-11-01 00:00:00,overall,108.6
urban,2013-12-01 00:00:00,overall,108.9
urban,2014-01-01 00:00:00,overall,109.7
urban,2014-02-01 00:00:00,overall,110.0
urban,2014-03-01 00:00:00,overall,110.0
urban,2014-04-01 00:00:00,overall,110.0
urban,2014-05-01 00:00:00,overall,110.2
urban,2014-06-01 00:00:00,overall,110.4
urban,2014-07-01 00:00:00,overall,110.5
urban,2014-08-01 00:00:00,overall,110.7
urban,2014-09-01 00:00:00,overall,110.9
urban,2014-10-01 00:00:00,overall,111.6
urban,2014-11-01 00:00:00,overall,112.1
urban,2014-12-01 00:00:00,overall,112.0
urban,1900-01-03 14:24:00,overall,7.2
urban,1900-01-03 12:00:00,overall,7.1
urban,1900-01-03 02:24:00,overall,6.0
urban,1900-01-02 19:12:00,overall,5.4
urban,1900-01-02 12:00:00,overall,5.1
urban,1900-01-02 12:00:00,overall,5.1
urban,1900-01-02 09:36:00,overall,4.8
urban,1900-01-02 00:00:00,overall,3.7
urban,1900-01-01 21:36:00,overall,3.2
urban,,overall,
urban,1900-01-01 19:12:00,overall,2.9
urban,1900-01-01 19:12:00,overall,3.1
urban,1900-01-01 21:36:00,overall,3.2
urban,1900-01-01 21:36:00,overall,2.9
urban,1900-01-01 21:36:00,overall,2.8
urban,1900-01-01 21:36:00,overall,2.7
urban,1900-01-01 21:36:00,overall,2.7
urban,,overall,
urban,,overall,
urban,,overall,
urban,2016-09-01 00:00:00,overall,115.7
urban,2016-10-01 00:00:00,overall,116.0
urban,2016-11-01 00:00:00,overall,117.1
urban,2016-12-01 00:00:00,overall,117.1
urban,2017-01-01 00:00:00,overall,118.4
urban,2017-02-01 00:00:00,overall,120.0
urban,2017-03-01 00:00:00,overall,119.8
urban,2017-04-01 00:00:00,overall,119.6
urban,2017-05-01 00:00:00,overall,119.4
urban,2017-06-01 00:00:00,overall,119.1
urban,2017-07-01 00:00:00,overall,119.1
urban,2017-08-01 00:00:00,overall,120.2
urban,2017-09-01 00:00:00,overall,120.5
urban,2017-10-01 00:00:00,overall,120.5
urban,2017-11-01 00:00:00,overall,121.2
urban,2017-12-01 00:00:00,overall,121.3
urban,2018-01-01 00:00:00,overall,121.7
urban,2018-02-01 00:00:00,overall,121.8
urban,2018-03-01 00:00:00,overall,121.4
urban,2018-04-01 00:00:00,overall,121.4
urban,2018-05-01 00:00:00,overall,121.6
urban,2018-06-01 00:00:00,overall,120.0
urban,2018-07-01 00:00:00,overall,120.2
urban,2018-08-01 00:00:00,overall,120.4
urban,2018-09-01 00:00:00,overall,120.9
urban,2018-10-01 00:00:00,overall,121.2
urban,2018-11-01 00:00:00,overall,121.5
urban,2018-12-01 00:00:00,overall,121.5
urban,2019-01-01 00:00:00,overall,120.9
urban,2019-02-01 00:00:00,overall,121.3
urban,2019-03-01 00:00:00,overall,121.6
urban,2019-04-01 00:00:00,overall,121.7
urban,2019-05-01 00:00:00,overall,121.8
urban,2019-06-01 00:00:00,overall,121.9
