DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1990-12-31,1.5552,,
1991-12-31,1.6343,5.09,
1992-12-31,1.332,-18.5,
1993-12-31,1.7396,30.6,
1994-12-31,1.425,-18.08,
1995-12-31,1.5238,6.93,
1996-12-31,0.9036,-40.7,
1997-12-31,1.0105,11.83,
1998-12-31,1.0346,2.38,
1999-12-31,0.9832,-4.97,
2000-12-31,1.0114,2.87,
2001-12-31,0.7764,-23.24,
2002-12-31,0.7422,-4.4,
2003-12-31,0.6388,-13.93,
2004-12-31,0.4683,-26.69,
2006-12-31,0.3789,-19.09,
2007-12-31,0.386,1.87,
2008-12-31,0.558,44.56,
2009-12-31,0.3991,-28.48,
2010-12-31,0.368,-7.79,
2011-12-31,0.303,-17.66,
2012-12-31,0.2044,-32.54,
2013-12-31,0.3103,51.81,
2014-12-31,0.2513,-19.01,
2015-12-31,0.2478,-1.39,
2016-12-31,0.3151,27.16,
2017-12-31,0.1908,-39.45,
2018-12-31,0.1548,-18.87,
2019-12-31,0.2046,32.17,
2020-12-31,0.1692,-17.3,
2021-12-31,0.101,-40.31,
